distribution,jnds,dens,line_len
out,11.42,0.17680241009625677,261.862346043463
in,16.06,0.044444444444444446,328.39111791128084
out,12.13,0.16425221654939676,271.09247137745143
in,16.7,0.044444444444444446,338.80713958996466
out,12.55,0.15005074285904849,276.70497168781577
in,16.66,0.044444444444444446,338.14656615086494
out,12.95,0.13328037660722636,282.1582038210375
in,17.26,0.044444444444444446,348.19181750985297
out,12.96,0.13283225649801814,282.2959028609615
in,17.44,0.044444444444444446,351.26318496527983
out,12.19,0.16249024465281234,271.88723287721496
in,16.82,0.044444444444444446,340.79661262533153
out,13.27,0.11849664331622686,286.59806752879
in,20.21,0.044444444444444446,402.0934450422493
out,11.77,0.17263524012446785,266.3724523888141
in,18.52,0.044444444444444446,370.2687652513666
out,11.57,0.17552360277639922,263.78582198925346
in,19.87,0.044444444444444446,395.4782753605408
out,12.25,0.160632905372569,272.68432437839203
in,19.64,0.044444444444444446,391.0651297576308
out,12.07,0.16591526833436507,270.3000330682063
in,18.38,0.044444444444444446,367.7482171702934
out,13.52,0.1065866967313329,290.115266200413
in,19.1,0.044444444444444446,380.896402891791
out,15.47,0.03053986202322737,319.07275018732963
in,18.35,0.044444444444444446,367.21033603929226
out,14.67,0.055850981703582575,306.85858382741816
in,19.12,0.044444444444444446,381.2682642546262
out,15.3,0.03508897936146401,316.4372013332767
in,18.99,0.044444444444444446,378.85763894184936
out,14.61,0.05814063870114637,305.9615965517849
in,19.26,0.044444444444444446,383.8814788046129
out,13.77,0.09469745285733318,293.6756287586676
in,21.35,0.044444444444444446,425.0918652574857
out,15.47,0.03053986202322737,319.07275018732963
in,21.46,0.044444444444444446,427.3794315652972
out,15.47,0.03053986202322737,319.07275018732963
in,20.83,0.044444444444444446,414.44257051486824
out,15.2,0.03797391393287082,314.8970592774576
in,21.75,0.044444444444444446,433.46946904629164
out,14.92,0.0468816046923888,310.6244243047113
in,22.14,0.044444444444444446,441.7965706828325
out,15.35,0.03370479760136799,317.2100948401185
in,21.68,0.044444444444444446,431.99156098205486
out,15.38,0.03289283997341214,317.674736784618
in,21.75,0.044444444444444446,433.46946904629164
out,13.57,0.10419790683233272,290.823868743152
in,22.1,0.044444444444444446,440.93519839760967
out,14.14,0.07771034100864008,299.02530904743
in,20.81,0.044444444444444446,414.0383533440793
out,17.73,0.0028029911164151396,356.2685872007059
in,21.43,0.044444444444444446,426.75433177885674
out,17.31,0.004715546804589683,349.04227122943746
