distribution,jnds,exp_condition,dens,key_correct,line_len
out,16.41,centered,0.044444444444444446,i,334
in,13.18,centered,0.12521810837224134,u,285
out,17.77,centered,0.044444444444444446,i,357
in,13.1,centered,0.13004194909737976,u,284
out,16.02,centered,0.044444444444444446,i,328
in,13.02,centered,0.1348357112665927,u,283
out,17.48,centered,0.044444444444444446,i,352
in,12.86,centered,0.14426574984108603,u,281
out,18.54,centered,0.044444444444444446,i,371
in,12.91,centered,0.14134724364939422,u,282
out,20.02,centered,0.044444444444444446,i,398
in,12.88,centered,0.14310191715300813,u,281
out,18.43,centered,0.044444444444444446,i,369
in,13.15,centered,0.1270295305910936,u,285
out,19.71,centered,0.044444444444444446,i,392
in,13.29,centered,0.11856597820918331,u,287
out,20.1,centered,0.044444444444444446,i,400
in,13.25,centered,0.12098536450394669,u,286
out,18.13,centered,0.044444444444444446,i,363
in,13.85,centered,0.08568429761341577,u,295
out,18.73,centered,0.044444444444444446,i,374
in,13.72,centered,0.09304256566528238,u,293
out,18.63,centered,0.044444444444444446,i,372
in,14.2,centered,0.06721235493088237,u,300
out,19.72,centered,0.044444444444444446,i,393
in,13.97,centered,0.07911239665278955,u,297
out,18.45,centered,0.044444444444444446,i,369
in,13.47,centered,0.10772908288357023,u,289
out,21.83,centered,0.044444444444444446,i,435
in,13.67,centered,0.09593007913637917,u,292
out,21.15,centered,0.044444444444444446,i,421
in,13.88,centered,0.08402018635884195,u,295
out,22.44,centered,0.044444444444444446,i,448
in,15.11,centered,0.03097621288868605,u,314
out,20.61,centered,0.044444444444444446,i,410
in,14.75,centered,0.04313866021351232,u,308
out,20.54,centered,0.044444444444444446,i,409
in,14.84,centered,0.03983146125307687,u,309
out,22.17,centered,0.044444444444444446,i,442
in,14.87,centered,0.0387689467142619,u,310
out,21.94,centered,0.044444444444444446,i,438
in,15.57,centered,0.01935342843274934,u,321
out,22.39,centered,0.044444444444444446,i,447
in,16.21,centered,0.009211655494314571,u,331
out,20.62,centered,0.044444444444444446,i,410
in,16.9,centered,0.0036890061427574095,u,342
out,22.26,centered,0.044444444444444446,i,444
